service_id,date,exception_type
A20131215SAT,20140217,1
A20131215SUN,20131225,1
A20131215SUN,20140101,1
A20131215SUN,20140526,1
A20131215WKD,20131225,2
A20131215WKD,20140101,2
A20131215WKD,20140217,2
A20131215WKD,20140526,2
B20131215SAT,20140217,1
B20131215SAT_G,20140217,1
B20131215SAT_G,20140510,2
B20131215SAT_G,20140524,2
B20131215SAT_G,20140614,2
B20131215SAT_G,20140705,2
B20131215SAT_G,20140712,2
B20131215SUN,20131225,1
B20131215SUN,20140101,1
B20131215SUN,20140526,1
B20131215SUN_G,20131225,1
B20131215SUN_G,20140101,1
B20131215SUN_G,20140511,2
B20131215SUN_G,20140525,2
B20131215SUN_G,20140526,2
B20131215SUN_G,20140615,2
B20131215SUN_G,20140706,2
B20131215SUN_G,20140713,2
B20131215WKD,20131225,2
B20131215WKD,20140101,2
B20131215WKD,20140217,2
B20131215WKD,20140526,2
B20131215WKD_G,20131225,2
B20131215WKD_G,20140101,2
B20131215WKD_G,20140217,2
B20131215WKD_G,20140414,2
B20131215WKD_G,20140415,2
B20131215WKD_G,20140416,2
B20131215WKD_G,20140417,2
B20131215WKD_G,20140418,2
B20131215WKD_G,20140421,2
B20131215WKD_G,20140422,2
B20131215WKD_G,20140423,2
B20131215WKD_G,20140424,2
B20131215WKD_G,20140425,2
B20131215WKD_G,20140428,2
B20131215WKD_G,20140429,2
B20131215WKD_G,20140430,2
B20131215WKD_G,20140501,2
B20131215WKD_G,20140502,2
B20131215WKD_G,20140505,2
B20131215WKD_G,20140506,2
B20131215WKD_G,20140507,2
B20131215WKD_G,20140508,2
B20131215WKD_G,20140509,2
B20131215WKD_G,20140512,2
B20131215WKD_G,20140513,2
B20131215WKD_G,20140514,2
B20131215WKD_G,20140515,2
B20131215WKD_G,20140516,2
B20131215WKD_G,20140519,2
B20131215WKD_G,20140520,2
B20131215WKD_G,20140521,2
B20131215WKD_G,20140522,2
B20131215WKD_G,20140523,2
B20131215WKD_G,20140527,2
B20131215WKD_G,20140528,2
B20131215WKD_G,20140529,2
B20131215WKD_G,20140530,2
B20131215WKD_G,20140602,2
B20131215WKD_G,20140603,2
B20131215WKD_G,20140604,2
B20131215WKD_G,20140605,2
B20131215WKD_G,20140606,2
B20131215WKD_G,20140609,2
B20131215WKD_G,20140610,2
B20131215WKD_G,20140611,2
B20131215WKD_G,20140612,2
B20131215WKD_G,20140613,2
B20131215WKD_G,20140616,2
B20131215WKD_G,20140617,2
B20131215WKD_G,20140618,2
B20131215WKD_G,20140619,2
B20131215WKD_G,20140620,2
B20131215WKD_G,20140623,2
B20131215WKD_G,20140624,2
B20131215WKD_G,20140625,2
B20131215WKD_G,20140626,2
B20131215WKD_G,20140627,2
B20131215WKD_G,20140630,2
B20131215WKD_G,20140701,2
B20131215WKD_G,20140702,2
B20131215WKD_G,20140703,2
B20131215WKD_G,20140704,2
B20131215WKD_G,20140707,2
B20131215WKD_G,20140708,2
B20131215WKD_G,20140709,2
B20131215WKD_G,20140710,2
B20131215WKD_G,20140711,2
B20131215WKD_G,20140714,2
B20131215WKD_G,20140715,2
B20131215WKD_G,20140716,2
B20131215WKD_G,20140717,2
B20131215WKD_G,20140718,2
B20131215WKD_G,20140721,2
B20131215WKD_G,20140722,2
B20131215WKD_G,20140723,2
B20131215WKD_G,20140724,2
B20131215WKD_G,20140725,2
greenpoint_fri_nightly,20140509,1
greenpoint_fri_nightly,20140523,1
greenpoint_fri_nightly,20140613,1
greenpoint_fri_nightly,20140704,1
greenpoint_fri_nightly,20140711,1
greenpoint_mon_nightly,20140512,1
greenpoint_mon_nightly,20140527,1
greenpoint_mon_nightly,20140616,1
greenpoint_mon_nightly,20140707,1
greenpoint_mon_nightly,20140714,1
greenpoint_nightly,20140415,1
greenpoint_nightly,20140416,1
greenpoint_nightly,20140417,1
greenpoint_nightly,20140422,1
greenpoint_nightly,20140423,1
greenpoint_nightly,20140424,1
greenpoint_nightly,20140429,1
greenpoint_nightly,20140430,1
greenpoint_nightly,20140501,1
greenpoint_nightly,20140506,1
greenpoint_nightly,20140507,1
greenpoint_nightly,20140508,1
greenpoint_nightly,20140513,1
greenpoint_nightly,20140514,1
greenpoint_nightly,20140515,1
greenpoint_nightly,20140520,1
greenpoint_nightly,20140521,1
greenpoint_nightly,20140522,1
greenpoint_nightly,20140528,1
greenpoint_nightly,20140529,1
greenpoint_nightly,20140603,1
greenpoint_nightly,20140604,1
greenpoint_nightly,20140605,1
greenpoint_nightly,20140610,1
greenpoint_nightly,20140611,1
greenpoint_nightly,20140612,1
greenpoint_nightly,20140617,1
greenpoint_nightly,20140618,1
greenpoint_nightly,20140619,1
greenpoint_nightly,20140624,1
greenpoint_nightly,20140625,1
greenpoint_nightly,20140626,1
greenpoint_nightly,20140701,1
greenpoint_nightly,20140702,1
greenpoint_nightly,20140703,1
greenpoint_nightly,20140708,1
greenpoint_nightly,20140709,1
greenpoint_nightly,20140710,1
greenpoint_nightly,20140715,1
greenpoint_nightly,20140716,1
greenpoint_nightly,20140717,1
greenpoint_nightly,20140722,1
greenpoint_nightly,20140723,1
greenpoint_nightly,20140724,1
greenpoint_nightly_eve,20140414,1
greenpoint_nightly_eve,20140421,1
greenpoint_nightly_eve,20140428,1
greenpoint_nightly_eve,20140505,1
greenpoint_nightly_eve,20140519,1
greenpoint_nightly_eve,20140602,1
greenpoint_nightly_eve,20140609,1
greenpoint_nightly_eve,20140623,1
greenpoint_nightly_eve,20140630,1
greenpoint_nightly_eve,20140721,1
greenpoint_nightly_morn,20140418,1
greenpoint_nightly_morn,20140425,1
greenpoint_nightly_morn,20140502,1
greenpoint_nightly_morn,20140516,1
greenpoint_nightly_morn,20140530,1
greenpoint_nightly_morn,20140606,1
greenpoint_nightly_morn,20140620,1
greenpoint_nightly_morn,20140627,1
greenpoint_nightly_morn,20140718,1
greenpoint_nightly_morn,20140725,1
greenpoint_sat,20140510,1
greenpoint_sat,20140524,1
greenpoint_sat,20140614,1
greenpoint_sat,20140705,1
greenpoint_sat,20140712,1
greenpoint_sun,20140511,1
greenpoint_sun,20140525,1
greenpoint_sun,20140526,1
greenpoint_sun,20140615,1
greenpoint_sun,20140706,1
greenpoint_sun,20140713,1
